Customer ,Type,Branding,Status,"Number of 
Equipments",Number of doors
111009,Cooler,Water,placed,5,5
111009,Cooler,Soft Drinks,placed,1,1
111009,Fountain,Soft Drinks,placed,16,0
110455,Fountain,Soft Drinks,placed,1,0
110453,Fountain,Soft Drinks,placed,1,0
111822,Cooler,Water,placed,1,1
110269,Fountain,Soft Drinks,placed,1,0
110750,Cooler,Soft Drinks,placed,1,"0,3"
110750,Fountain,Soft Drinks,placed,1,0
110750,Fountain,Soft Drinks,placed,1,0
110750,Dispenser,Water,placed,1,0
110274,Cooler,Soft Drinks,placed,2,2
110274,Fountain,Soft Drinks,placed,3,0
101119,Cooler,Soft Drinks,placed,1,1
111820,Cooler,Soft Drinks,placed,2,2
110150,Cooler,Soft Drinks,placed,2,"1,3"
110150,Fountain,Soft Drinks,placed,3,0
111818,Cooler,Soft Drinks,placed,2,"1,7"
110990,Fountain,Soft Drinks,placed,9,0
101255,Cooler,Water,placed,1,1
101255,Cooler,Soft Drinks,placed,1,1
101255,Dispenser,Water,placed,1,0
106462,Dispenser,Water,placed,1,0
106480,Dispenser,Water,placed,1,0
106482,Cooler,Energy,placed,1,"0,7"
106482,Dispenser,Water,placed,2,0
106484,Cooler,Soft Drinks,placed,1,"0,3"
106484,Dispenser,Water,placed,1,0
106522,Dispenser,Water,placed,1,0
106543,Dispenser,Water,placed,1,0
107828,Cooler,Soft Drinks,placed,2,"1,3"
102879,Cooler,Water,placed,1,"1,5"
102879,Cooler,Soft Drinks,placed,1,2
102879,Cooler,Energy,placed,1,"0,7"
106575,Dispenser,Water,placed,1,0
105844,Dispenser,Water,placed,1,0
101992,Cooler,Soft Drinks,placed,1,2
110789,Coffee ,Coffee ,placed,2,0
110789,Cooler,Soft Drinks,placed,1,"0,7"
110789,Dispenser,Water,placed,1,0
101008,Cooler,Soft Drinks,placed,1,1
101008,Cooler,Energy,placed,1,1
106516,Cooler,Energy,placed,1,"0,7"
106516,Dispenser,Water,placed,2,0
104936,Cooler,Soft Drinks,placed,1,1
110193,Cooler,Soft Drinks,placed,1,1
107047,Cooler,Soft Drinks,placed,1,1
107152,Cooler,Soft Drinks,placed,1,"0,7"
102208,Cooler,Water,placed,3,4
102208,Cooler,Soft Drinks,placed,1,2
102208,Cooler,Energy,placed,2,"1,4"
102208,Cooler,Energy,placed,1,"0,7"
108622,Cooler,Water,placed,1,2
108622,Cooler,Soft Drinks,placed,3,4
105330,Cooler,Soft Drinks,placed,1,1
111348,Cooler,Soft Drinks,placed,1,2
104423,Cooler,Water,placed,1,1
104423,Cooler,Soft Drinks,placed,1,2
107927,Cooler,Water,placed,1,"1,5"
110771,Coffee,Coffee ,placed,2,0
110771,Cooler,Soft Drinks,placed,1,1
110771,Fountain,Soft Drinks,placed,1,0
