Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
111009,ЛАФКА ЧОЧО ЕООД,Варна,ЗЛАТНИ ПЯСЪЦИ,Hotels,Gold,Seasonal,Out of Home
110234,ПАВИЛЬО ЕООД,Варна,ВАРНА,Fast-food,Silver,Not Seasonal,Out of Home
110445,КРАСМОС 2 ЕООД,Бургас,БУРГАС,Fast-food,Iron,Not Seasonal,Out of Home
110455,МАГАЗИН ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Fast-food,Gold,Seasonal,Out of Home
110453,ГЕОРГИЕВ ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Fast-food,Gold,Seasonal,Out of Home
111822,ПАВИЛИОН ЕООД,Бургас,БУРГАС,Cafe,Silver,Not Seasonal,Out of Home
110341,МЕЛДИ ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
110772,СПРИНТ ЕООД,Варна,ВАРНА,Fast-food,Iron,Not Seasonal,Out of Home
110269,СТОПЧЕ ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Fast-food,Silver,Seasonal,Out of Home
110230,КРИСТАЛ ЕООД,Варна,ВАРНА,Fast-food,Silver,Not Seasonal,Out of Home
110750,МАРЧЕЛА ЕООД,Бургас,БУРГАС,Fast-food,Silver,Not Seasonal,Out of Home
111824,ПАВИЛЬОН ЕООД,Бургас,БУРГАС,Cafe,Gold,Not Seasonal,Out of Home
110274,АНДРОМЕДА ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Fast-food,Gold,Seasonal,Out of Home
107346,ЙОРУС 6 ЕООД,Варна,ВАРНА,Restaurant,Silver,Not Seasonal,Out of Home
101119,ПЕПИНО ДАП ЕООД,Шумен,ВЕНЕЦ,Cafe,Bronze,Not Seasonal,At Home
110231,КРИСТАЛ ЕООД,Варна,ВАРНА,Fast-food,Silver,Seasonal,Out of Home
111820,ПАМ НИК ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Cafe,Gold,Seasonal,Out of Home
106449,СЛАДОЛЕДЕНА ТОЧКА Ц МАРКЕТ ЕООД,Варна,ВАРНА,Cafe,Iron,Not Seasonal,Out of Home
