Calendar day,Customer,BGN,CS
1.1.2025,103335,"13,9",5
1.1.2025,106635,"61,14",22
1.1.2025,103263,"13,9",5
1.1.2025,106943,"11,12",4
1.1.2025,111148,"61,14",22
2.1.2025,106561,"13,9",5
2.1.2025,101699,"8,34",3
2.1.2025,106231,"13,9",5
2.1.2025,106339,"22,79","8,2"
2.1.2025,111964,"11,12",4
2.1.2025,100762,"2,78",1
2.1.2025,104024,"11,12",4
2.1.2025,104461,"13,9",5
2.1.2025,104180,"25,01",9
2.1.2025,100757,"52,81",19
2.1.2025,110175,"11,12",4
2.1.2025,103694,"27,79",10
2.1.2025,100807,"36,13",13
2.1.2025,104630,"15,75","5,666"
2.1.2025,104436,"2,78",1
2.1.2025,101065,"8,34",3
2.1.2025,104723,"2,78",1
2.1.2025,104437,"11,12",4
2.1.2025,102713,"8,34",3
2.1.2025,104641,"16,68",6
2.1.2025,102718,"5,56",2
2.1.2025,102677,"26,4","9,5"
2.1.2025,105465,"5,56",2
2.1.2025,103377,"16,68",6
2.1.2025,103412,"2,78",1
2.1.2025,104509,"5,56",2
2.1.2025,107239,"222,34",80
2.1.2025,108563,"16,68",6
2.1.2025,111888,"11,12",4
2.1.2025,104507,"16,68",6
2.1.2025,104746,"2,78",1
2.1.2025,105427,"5,56",2
2.1.2025,102213,"80,6",29
2.1.2025,102164,"16,68",6
2.1.2025,107483,"2,78",1
2.1.2025,110387,"8,34",3
2.1.2025,103458,"12,51","4,5"
2.1.2025,103411,"11,12",4
2.1.2025,104459,"8,34",3
2.1.2025,105320,"30,57",11
2.1.2025,102212,"177,87",64
2.1.2025,100130,"5,56",2
2.1.2025,104529,"2,78",1
2.1.2025,109315,"11,12",4
2.1.2025,104135,"20,84","7,5"
2.1.2025,100854,"5,56",2
2.1.2025,104134,"6,95","2,5"
2.1.2025,107185,"11,12",4
2.1.2025,103641,"8,34",3
2.1.2025,100876,"22,23",8
2.1.2025,104127,"19,45",7
2.1.2025,107242,"11,12",4
2.1.2025,105272,"5,56",2
2.1.2025,103549,"2,78",1
2.1.2025,104015,"2,78",1
2.1.2025,108321,"2,78",1
2.1.2025,103550,"8,34",3
2.1.2025,103689,"11,12",4
2.1.2025,103659,"45,86","16,5"
2.1.2025,104534,"27,79",10
2.1.2025,104580,"16,68",6
2.1.2025,104458,"2,78",1
2.1.2025,105102,"8,34",3
2.1.2025,104132,"30,57",11
2.1.2025,106693,"36,13",13
2.1.2025,104557,"8,34",3
2.1.2025,104236,"38,91",14
2.1.2025,103678,"2,78",1
2.1.2025,103979,"36,13",13
2.1.2025,103420,"8,34",3
2.1.2025,103951,"69,48",25
2.1.2025,103401,"11,12",4
2.1.2025,112011,"16,68",6
2.1.2025,103724,"8,34",3
2.1.2025,104200,"5,56",2
2.1.2025,103462,"11,12",4
2.1.2025,103740,"5,56",2
2.1.2025,104107,"11,12",4
2.1.2025,102236,"27,79",10
2.1.2025,100795,"8,34",3
2.1.2025,103968,"44,47",16
2.1.2025,100151,"8,34",3
2.1.2025,103761,"50,03",18
2.1.2025,108098,"5,56",2
2.1.2025,107475,"2,78",1
2.1.2025,102052,"16,68",6
2.1.2025,100831,"25,01",9
2.1.2025,101061,"2,78",1
2.1.2025,112098,"27,79",10
2.1.2025,109422,"5,56",2
2.1.2025,103650,"2,78",1
2.1.2025,107677,"5,56",2
2.1.2025,108452,"2,78",1
2.1.2025,106585,"25,01",9
2.1.2025,100800,"11,12",4
2.1.2025,103554,"30,57",11
2.1.2025,106685,"48,64","17,5"
2.1.2025,101352,"2,78",1
2.1.2025,103684,"13,9",5
2.1.2025,100691,"8,34",3
2.1.2025,106558,"13,9",5
2.1.2025,104053,"2,78",1
2.1.2025,103973,"16,68",6
2.1.2025,103606,"2,78",1
2.1.2025,104389,"16,68",6
2.1.2025,105274,"16,68",6
2.1.2025,104808,"12,51","4,5"
2.1.2025,108172,"2,78",1
2.1.2025,105392,"19,45",7
2.1.2025,103564,"36,13",13
2.1.2025,103425,"13,9",5
2.1.2025,103424,"25,01",9
2.1.2025,104028,"16,68",6
2.1.2025,103428,"2,78",1
2.1.2025,103975,"2,78",1
2.1.2025,104948,"5,56",2
2.1.2025,105160,"55,59",20
2.1.2025,104581,"11,12",4
2.1.2025,103690,"25,01",9
2.1.2025,100774,"13,9",5
2.1.2025,103385,"2,78",1
2.1.2025,106687,"30,57",11
2.1.2025,100770,"44,47",16
2.1.2025,103683,"5,56",2
2.1.2025,103573,"38,91",14
2.1.2025,106306,"8,34",3
2.1.2025,103471,"5,56",2
2.1.2025,104471,"47,25",17
2.1.2025,101232,"44,47",16
2.1.2025,104446,"5,56",2
2.1.2025,104810,"8,34",3
2.1.2025,104241,"33,35",12
2.1.2025,106488,"41,69",15
2.1.2025,103677,"13,9",5
2.1.2025,104183,"13,9",5
2.1.2025,101381,"11,12",4
2.1.2025,104117,"2,78",1
2.1.2025,108541,"44,47",16
2.1.2025,103486,"38,91",14
2.1.2025,104159,"38,91",14
2.1.2025,101238,"44,47",16
2.1.2025,107753,"15,29","5,5"
2.1.2025,102211,"16,68",6
2.1.2025,101044,"5,56",2
2.1.2025,104951,"127,85",46
2.1.2025,100782,"69,48",25
2.1.2025,105378,"19,45",7
2.1.2025,108171,"8,34",3
2.1.2025,106336,"10,67","3,84"
2.1.2025,110016,"38,91",14
2.1.2025,103575,"8,34",3
2.1.2025,105368,"22,23",8
2.1.2025,111936,"8,34",3
2.1.2025,103342,"25,01",9
2.1.2025,103343,"41,69",15
2.1.2025,104290,"8,34",3
2.1.2025,103668,"13,9",5
2.1.2025,102341,"2,78",1
2.1.2025,100809,"8,34",3
2.1.2025,106491,"25,01",9
2.1.2025,100715,"44,47",16
2.1.2025,104254,"16,68",6
2.1.2025,102058,"22,23",8
2.1.2025,101705,"50,03",18
2.1.2025,106338,"42,57","15,316"
2.1.2025,101687,"30,57",11
2.1.2025,106289,"14,94","5,375"
2.1.2025,101966,"13,9",5
2.1.2025,100824,"33,35",12
2.1.2025,101071,"5,56",2
2.1.2025,102335,"9,73","3,5"
2.1.2025,100660,"8,34",3
2.1.2025,103735,"12,97","4,666"
2.1.2025,108376,"2,78",1
2.1.2025,105220,"9,73","3,5"
2.1.2025,107656,"11,12",4
2.1.2025,104219,"36,13",13
2.1.2025,103386,"15,29","5,5"
2.1.2025,111361,"33,35",12
