Customer,Calendar day,"Executed
Visits All"
111009,16.6.2025,1
111009,24.6.2025,2
111009,23.7.2025,2
111009,12.8.2025,1
111009,18.8.2025,1
110234,13.1.2025,1
110234,10.2.2025,1
110234,10.3.2025,1
110234,27.10.2025,1
110234,3.11.2025,1
110234,24.11.2025,1
110445,26.8.2025,1
110455,12.6.2025,1
110453,12.6.2025,1
111822,9.1.2025,1
111822,16.1.2025,1
111822,23.1.2025,1
111822,6.2.2025,1
111822,13.2.2025,1
111822,20.2.2025,1
111822,10.3.2025,1
111822,17.3.2025,1
111822,24.3.2025,1
111822,2.9.2025,1
111822,20.10.2025,1
111822,27.10.2025,1
111822,3.11.2025,1
111822,10.11.2025,1
111822,24.11.2025,1
110341,20.10.2025,1
110772,6.1.2025,1
110772,20.1.2025,1
110772,3.2.2025,1
110772,17.2.2025,1
110772,27.10.2025,1
110269,21.7.2025,1
110230,27.1.2025,1
110230,27.10.2025,1
110230,24.11.2025,1
110750,17.1.2025,1
110750,31.1.2025,1
110750,14.2.2025,1
110750,17.3.2025,1
110750,23.6.2025,1
110750,23.9.2025,1
110750,27.10.2025,1
110750,10.11.2025,1
110750,24.11.2025,1
110750,8.12.2025,1
110274,14.7.2025,1
107346,29.1.2025,1
107346,26.3.2025,1
107346,8.10.2025,1
107346,19.11.2025,1
111820,2.7.2025,1
106449,22.1.2025,1
106449,5.2.2025,1
106449,19.2.2025,1
106449,22.10.2025,1
106449,5.11.2025,1
106449,3.12.2025,1
110150,24.1.2025,1
110150,7.2.2025,1
110150,21.2.2025,1
110150,17.3.2025,1
110150,27.6.2025,1
110150,16.9.2025,1
110150,27.10.2025,1
110150,10.11.2025,1
110150,24.11.2025,1
110150,8.12.2025,1
111818,10.1.2025,1
111818,17.1.2025,1
111818,24.1.2025,1
111818,31.1.2025,1
111818,7.2.2025,1
111818,14.2.2025,1
111818,21.2.2025,1
111818,28.2.2025,1
111818,7.3.2025,1
111818,14.3.2025,1
111818,21.3.2025,1
111818,2.4.2025,1
111818,27.5.2025,1
111818,5.9.2025,1
111818,24.10.2025,1
111818,31.10.2025,1
111818,7.11.2025,1
111818,14.11.2025,1
111818,5.12.2025,1
111818,19.12.2025,1
103981,6.1.2025,1
103981,20.1.2025,1
103981,3.2.2025,1
103981,17.2.2025,1
103981,10.3.2025,1
103981,17.3.2025,1
103981,24.3.2025,1
103981,31.3.2025,1
103981,18.9.2025,1
103981,30.9.2025,1
103981,6.10.2025,1
103981,13.10.2025,1
103981,20.10.2025,1
103981,27.10.2025,1
103981,3.11.2025,1
103981,10.11.2025,1
103981,17.11.2025,1
103981,1.12.2025,1
103981,8.12.2025,1
103981,15.12.2025,1
110990,20.1.2025,1
110990,5.6.2025,1
110990,24.6.2025,1
110990,8.8.2025,1
110990,18.8.2025,1
110990,21.8.2025,1
110990,3.9.2025,1
110990,4.9.2025,1
101255,20.1.2025,1
101255,30.1.2025,1
101255,18.2.2025,1
101255,13.3.2025,1
101255,10.4.2025,1
101255,19.6.2025,1
101255,17.7.2025,1
101255,31.7.2025,1
101255,14.8.2025,1
101255,28.8.2025,1
101255,25.9.2025,1
101255,9.10.2025,1
101255,23.10.2025,1
101255,7.11.2025,1
101255,21.11.2025,1
101255,5.12.2025,1
101255,19.12.2025,1
106462,22.1.2025,1
106462,19.2.2025,1
106462,24.3.2025,1
106462,28.5.2025,1
106462,23.7.2025,1
106462,3.11.2025,1
106480,24.3.2025,1
106480,28.5.2025,1
